H2,H2O,O2,H2_melt,H2O_melt,O2_melt,H2_mass_atm,H2O_mass_atm,O2_mass_atm,H2_mass_melt,H2O_mass_melt,O2_mass_melt,H2_mass_tot,H2O_mass_tot,O2_mass_tot,H2_fugacity,Total_Pressure
4400.0,1000.0,1.8722754919286943e-13,1024.5016980800226,30515.979420624866,0.0,4.998546000040076e+22,1.0152361999433403e+23,33762102.94474869,3.7204779165776018e+22,1.1081877926599919e+24,0.0,8.719023916617678e+22,1.209711412654326e+24,33762102.94474869,4400,5400.0
4499.999999999998,1000.0,1.7899878283328246e-13,1036.6405586804171,30515.979420624863,0.0,5.168067959081496e+22,1.0263412410752596e+23,32631309.365813177,3.764560188847935e+22,1.1081877926599918e+24,0.0,8.932628147929431e+22,1.2108219167675177e+24,32631309.365813177,4500,5499.999999999998
4599.999999999993,999.999999999999,1.7130082005547993e-13,1048.6517180592773,30515.97942062485,0.0,5.339230651790228e+22,1.0372822088404467e+23,31560873.43059165,3.808178714132266e+22,1.1081877926599915e+24,0.0,9.147409365922493e+22,1.2119160135440363e+24,31560873.43059165,4600,5599.999999999992
4700.000000000001,1000.0,1.640889702296945e-13,1060.5392528999412,30515.97942062485,0.0,5.511997982855997e+22,1.0480627127699348e+23,30546348.49782665,3.851348296906136e+22,1.1081877926599915e+24,0.0,9.363346279762132e+22,1.212994063936985e+24,30546348.49782665,4700,5700.000000000001
4800.000000000005,1000.000000000001,1.5732314897456393e-13,1072.307026172899,30515.97942062488,0.0,5.686334908032264e+22,1.0586862572883714e+23,29583704.013475265,3.894082965546883e+22,1.1081877926599926e+24,0.0,9.580417873579146e+22,1.2140564183888298e+24,29583704.013475265,4800,5800.0000000000055
4899.999999999997,1000.0,1.5096731996559586e-13,1083.9587025391322,30515.979420624863,0.0,5.8622073961552265e+22,1.0691562455121348e+23,28669278.603195038,3.936396028270859e+22,1.1081877926599918e+24,0.0,9.798603424426086e+22,1.215103417211205e+24,28669278.603195038,4900,5899.999999999997
5000.00000000001,1000.000000000002,1.4498901409495842e-13,1095.4977623528102,30515.979420624906,0.0,6.03958239279792e+22,1.0794759828839314e+23,27799739.312797256,3.978300123984231e+22,1.1081877926599935e+24,0.0,1.001788251678215e+23,1.2161353909483867e+24,27799739.312797256,5000,6000.000000000012
5100.000000000004,1000.000000000001,1.39358913970548e-13,1106.9275144160724,30515.979420624888,0.0,6.218427785477771e+22,1.0896486806520064e+23,26972046.08318368,4.019807268601967e+22,1.1081877926599928e+24,0.0,1.0238235054079738e+23,1.2171526607251935e+24,26972046.08318368,5100,6100.000000000005
5199.999999999993,999.999999999999,1.3405049380081193e-13,1118.2511076193384,30515.979420624833,0.0,6.398712370341136e+22,1.0996774592017281e+23,26183420.69731667,4.0609288973196275e+22,1.1081877926599908e+24,0.0,1.0459641267660763e+23,1.2181555385801638e+24,26183420.69731667,5200,6199.999999999992
5300.000000000001,1000.0,1.2903970638568736e-13,1129.471541583972,30515.979420624848,0.0,6.580405820251694e+22,1.1095653512467369e+23,25431319.560409192,4.101675903262195e+22,1.1081877926599914e+24,0.0,1.0682081723513889e+23,1.219144327784665e+24,25431319.560409192,5300,6300.000000000001
