,H2O,H2,O2,CO,CO2,CH4,N2,S2,H2S,SO2,SO,fO2_shift,C/H ratio,Number of ocean moles
2299,16.32662104,0.227685907,1.83308E-08,5.913718464,164.263587,1.81343E-08,1.504919347,0.439414892,0.555930882,7.382277969,0.019100562,3.857936394,0.201776384,9.292003463
2300,1.291372206,70.29281931,1.20321E-15,49.51661776,0.352380558,56.48860351,0.000272081,3.07724E-08,0.045419123,1.28231E-10,1.295E-09,-3.324219309,0.475237535,5.832505834
2301,7.594638532,5.01650524,8.17097E-12,215.1290202,126.1610607,0.015167853,1.100851304,0.000208724,0.266952658,7.17183E-05,8.78901E-06,0.501210532,0.591075812,6.876852259
2302,0.46934018,0.430007227,4.24704E-12,47.98847821,20.2894116,3.4483E-05,1.021065904,0.000108693,0.016512911,2.69003E-05,4.57258E-06,0.227475365,0.477212225,1.722229952
2303,11.1750405,4.518935783,2.18016E-11,343.7103253,329.2501709,0.012038722,1.223962991,0.000556483,0.392653412,0.000312453,2.34416E-05,0.915141412,0.943356491,8.17685349
2304,0.320901138,5.740877942,1.1139E-14,126.4268412,2.737491157,0.316177808,0.007556091,2.85085E-07,0.011290487,3.61331E-09,1.1993E-08,-2.356158734,0.891238622,1.957876696
2305,4.178067875,41.44034738,3.62382E-14,160.8127608,6.280483885,11.61832691,0.04076943,9.26067E-07,0.146889889,2.11864E-08,3.89872E-08,-1.847102152,0.428565902,6.671403968
2306,0.063695133,2.481049136,2.34965E-15,13.28932639,0.132158271,0.013515472,0.000742022,6.01402E-08,0.00224112,3.50072E-10,2.52989E-09,-3.027618307,0.204668335,1.00338739
2307,1.618644805,99.24545598,9.48296E-16,2.258187493,0.014266631,5.784538925,0.000190034,2.41761E-08,0.056839651,8.95794E-11,1.01902E-09,-3.425088058,0.105491669,7.728111646
2308,9.644898979,4.093215262,1.97938E-11,293.2210526,267.6385948,0.008843407,1.212918387,0.000505418,0.338951233,0.000270349,2.12866E-05,0.877366311,0.848962664,7.607023533
2309,0.264246309,0.681612942,5.35802E-13,47.08127873,7.07033262,0.000239321,0.571548897,1.37133E-05,0.009297278,1.20544E-06,5.76887E-07,-0.671073391,0.49649008,1.381733112
2310,9.311155607,0.201040624,7.64718E-09,22.0173389,395.0072644,8.14969E-08,1.527383711,0.192185112,0.324631724,2.036723504,0.008158837,3.46967586,0.63654121,7.034645735
2311,1.177135227,21.17315364,1.1019E-14,163.8273001,3.528154346,5.603314226,0.007427264,2.81927E-07,0.041409593,3.55453E-09,1.1862E-08,-2.363055554,0.655196963,3.846502862
2312,0.910920795,58.7112261,8.58185E-16,40.20700764,0.24164717,37.88898749,0.000163957,2.19532E-08,0.032041835,7.72504E-11,9.23755E-10,-3.46951482,0.416969626,4.997059009
2313,1.627197642,16.03950855,3.66911E-14,227.8058536,8.952299896,2.450338924,0.042022011,9.38643E-07,0.057238544,2.15964E-08,3.94955E-08,-1.842897945,0.804835531,4.070635015
2314,2.553917271,124.7779612,1.49348E-15,32.82520685,0.260253696,105.9114017,0.000375965,3.81495E-08,0.089769622,1.77221E-10,1.60643E-09,-3.233604859,0.519125425,8.80154879
2315,3.04776829,26.79796889,4.61129E-14,34.22190209,1.507664491,0.916550181,0.0541968,1.17848E-06,0.107154667,3.04127E-08,4.96124E-08,-1.736657862,0.139597209,5.543978288
2316,0.303037937,3.574768107,2.56189E-14,43.9361,1.442750138,0.028092898,0.025381818,6.55674E-07,0.010662011,1.2603E-08,2.7583E-08,-1.991284222,0.355895946,1.770466399
2317,8.650962096,24.28233723,4.52491E-13,532.2575756,73.45413832,3.736433994,0.514541727,1.15514E-05,0.30398664,9.34324E-07,4.86563E-07,-0.7660102,0.970896993,8.150351464
2318,3.284831757,0.041378729,2.24664E-08,10.18204257,313.1059989,9.31497E-10,1.566969064,0.529293005,0.11088492,9.930079633,0.02320773,3.941076187,0.82412174,4.156811219
2319,0.675706966,4.228358873,9.10406E-14,59.31749188,3.671891414,0.028149347,0.134184062,2.32976E-06,0.023772504,8.44232E-08,9.80146E-08,-1.441297184,0.352302417,2.434572221
2320,0.268186276,0.344571461,2.15962E-12,15.4200257,4.649035224,9.97734E-06,0.892951404,5.52732E-05,0.009435908,9.75448E-06,2.32521E-06,-0.06445098,0.188930649,1.324633098
2321,11.83348049,42.2942654,2.79077E-13,132.2827184,14.33687893,3.587265198,0.342212844,7.11115E-06,0.415430907,4.52131E-07,2.99812E-07,-0.95983207,0.245359224,9.830340599
2322,5.457201633,55.22502608,3.48121E-14,153.9765712,5.893987486,20.15676565,0.038345059,8.89045E-07,0.191798453,1.99417E-08,3.74408E-08,-1.86514036,0.40017121,7.740907493
2323,1.608162324,16.18508681,3.51959E-14,266.4707505,10.25616241,2.979841573,0.03969964,9.00401E-07,0.056569245,2.02899E-08,3.78862E-08,-1.862456209,0.935667472,4.061365202
2324,4.223696194,0.337551109,5.58172E-10,71.43641279,346.2527768,2.75914E-06,1.465405032,0.014267852,0.148513556,0.040505896,0.000600594,2.333188496,0.941634881,4.808302572
2325,4.76772364,0.103250954,7.60144E-09,21.51335606,384.8093898,2.10672E-08,1.536302288,0.191257743,0.166322441,2.019650397,0.008114749,3.46763906,0.863545978,5.029746036
2326,0.77825622,52.3737182,7.87191E-16,144.7619426,0.833266821,113.3444964,0.000144074,2.01418E-08,0.027378513,6.78735E-11,8.47436E-10,-3.513400031,0.976977234,4.982829854
2327,3.615235299,85.2223423,6.41547E-15,106.6779232,1.752984794,77.46879426,0.003317359,1.63896E-07,0.127082355,1.57791E-09,6.90107E-09,-2.600886323,0.515187288,7.914391584
2328,3.534765505,9.115198775,5.36106E-13,64.41157509,9.675621657,0.058536959,0.532229218,1.37062E-05,0.124300369,1.20581E-06,5.76902E-07,-0.671991699,0.202765246,5.126609134
2329,5.602555458,0.069977188,2.28518E-08,11.55914062,358.4889046,2.99873E-09,1.560974571,0.536820639,0.188850593,10.17200674,0.023571807,3.946651206,0.722934882,5.431183959
