,H_mass,C_mass,S_mass,N_mass,Cl_mass,O2_fugacity
66,6.010282266540312e+20,3.8278901950034916e+20,1.194e+21,4.955e+18,1.04e+20,1.3667912201452204e-12
67,4.7281031070051336e+20,2.4723422596824246e+20,1.194e+21,4.955e+18,1.04e+20,2.446079619956156e-09
68,1.3866342989155887e+21,5.978832685541845e+20,1.194e+21,4.955e+18,1.04e+20,2.0738750596728548e-08
69,3.5107828046062774e+20,7.045611263008244e+19,1.194e+21,4.955e+18,1.04e+20,2.7719256349239023e-10
70,6.784219706459103e+20,3.4398248498842324e+20,1.194e+21,4.955e+18,1.04e+20,7.049928975588037e-13
71,4.5203427877758016e+20,2.1771831957793767e+20,1.194e+21,4.955e+18,1.04e+20,8.625959456711003e-11
72,2.681178718267361e+20,3.5958291726594773e+19,1.194e+21,4.955e+18,1.04e+20,3.3105107050659147e-16
73,4.352064676716341e+20,6.220621152797766e+19,1.194e+21,4.955e+18,1.04e+20,6.704028047551079e-13
74,2.037547331871318e+20,9.105224531821586e+19,1.194e+21,4.955e+18,1.04e+20,5.033066502865037e-15
75,1.5223662416462416e+21,1.5089655845255753e+21,1.194e+21,4.955e+18,1.04e+20,4.438848703384947e-15
76,9.469859417103103e+20,1.8884374230466744e+20,1.194e+21,4.955e+18,1.04e+20,1.0483505581170813e-08
77,1.5424068510112135e+21,9.556269523702206e+20,1.194e+21,4.955e+18,1.04e+20,8.513262136509155e-11
78,1.2586917397556783e+21,5.820872400822169e+20,1.194e+21,4.955e+18,1.04e+20,2.000805467091948e-09
79,9.808080917949603e+20,1.0487335820818709e+20,1.194e+21,4.955e+18,1.04e+20,3.4998959941302536e-13
80,1.228077700589819e+21,5.881604291915304e+20,1.194e+21,4.955e+18,1.04e+20,1.836984560071529e-10
