,H_mass,C_mass,S_mass,N_mass,Cl_mass,O2_fugacity
87,1.4544862446938064e+21,6.269078468745328e+20,1.194e+21,4.955e+18,1.04e+20,1.7253023478028634e-10
88,4.9753863618766733e+20,1.681061120623748e+20,1.194e+21,4.955e+18,1.04e+20,1.213519817330657e-12
89,1.50646922137676e+21,1.1862197017515556e+21,1.194e+21,4.955e+18,1.04e+20,4.197255560438051e-11
90,5.021223979659754e+20,1.8352487288645445e+20,1.194e+21,4.955e+18,1.04e+20,1.3596402628483987e-11
91,8.944539743216725e+20,3.454282344635836e+20,1.194e+21,4.955e+18,1.04e+20,2.4928180216656377e-15
92,5.7694976402533456e+20,1.0134158101805243e+20,1.194e+21,4.955e+18,1.04e+20,8.005155304014714e-13
93,1.096861009234358e+21,7.608335189511092e+20,1.194e+21,4.955e+18,1.04e+20,2.880384283521023e-13
94,1.0430279282569584e+21,3.316369271519705e+20,1.194e+21,4.955e+18,1.04e+20,4.898165264741251e-09
95,9.932058609363776e+20,1.2764913841641821e+20,1.194e+21,4.955e+18,1.04e+20,8.018232513798117e-12
96,3.4363027681636175e+20,1.4234568179591607e+20,1.194e+21,4.955e+18,1.04e+20,5.788015597671415e-16
97,1.2645120679150229e+21,1.0571532232958693e+21,1.194e+21,4.955e+18,1.04e+20,3.392562604895143e-15
98,1.1663804459853264e+21,1.84260001754953e+20,1.194e+21,4.955e+18,1.04e+20,5.2662001501535255e-09
99,6.622040041382576e+20,5.215213731605409e+20,1.194e+21,4.955e+18,1.04e+20,4.853470321866332e-12
100,1.2337834672459856e+21,1.211756384811927e+21,1.194e+21,4.955e+18,1.04e+20,1.8350888500937336e-09
101,2.7738795361205364e+20,2.0248931215887453e+20,1.194e+21,4.955e+18,1.04e+20,1.8586788380721453e-13
102,2.411144828638564e+20,7.200633125236253e+19,1.194e+21,4.955e+18,1.04e+20,8.141559004087158e-12
103,1.0352402327620789e+21,7.307135721225336e+20,1.194e+21,4.955e+18,1.04e+20,3.776070150409367e-14
104,1.3084053453275285e+21,5.671374045214229e+20,1.194e+21,4.955e+18,1.04e+20,1.5811733522132584e-12
105,1.2901634993469658e+21,2.496977653300072e+20,1.194e+21,4.955e+18,1.04e+20,4.1777019646096597e-13
106,1.4251060079225592e+21,1.015899803445463e+21,1.194e+21,4.955e+18,1.04e+20,1.0909984003009931e-08
107,2.393648148666955e+20,8.970320610290113e+19,1.194e+21,4.955e+18,1.04e+20,1.8152379125017406e-14
108,1.4672531063281644e+21,2.877291888707076e+20,1.194e+21,4.955e+18,1.04e+20,8.552038749343678e-16
109,1.2190267211092827e+21,1.1432002275771833e+21,1.194e+21,4.955e+18,1.04e+20,8.054271610925993e-11
110,5.074718212199233e+20,3.4120116901546354e+20,1.194e+21,4.955e+18,1.04e+20,1.5087724077463776e-13
111,1.4304560174758206e+21,1.2608502683551316e+21,1.194e+21,4.955e+18,1.04e+20,1.9730527231526405e-09
112,2.511534236505466e+20,1.9638832794592022e+20,1.194e+21,4.955e+18,1.04e+20,1.2362008558464442e-13
113,6.56576747377147e+20,1.259578887331915e+20,1.194e+21,4.955e+18,1.04e+20,5.974627903128132e-12
114,1.29901574146019e+21,4.728991467380358e+20,1.194e+21,4.955e+18,1.04e+20,8.585358638629273e-14
115,1.630507203551955e+20,2.777121380922303e+19,1.194e+21,4.955e+18,1.04e+20,3.489821020052826e-16
116,4.7279146709599e+20,4.070395988249405e+20,1.194e+21,4.955e+18,1.04e+20,5.956261991997634e-11
117,4.6848693901628283e+20,3.841726497941154e+20,1.194e+21,4.955e+18,1.04e+20,6.597192833682857e-13
118,4.149175993340678e+20,1.414706308754941e+20,1.194e+21,4.955e+18,1.04e+20,1.2270228865788118e-09
119,3.82417457507851e+20,1.2496076424355116e+20,1.194e+21,4.955e+18,1.04e+20,4.1930272758865853e-16
120,1.214532626781582e+21,9.575224356874172e+20,1.194e+21,4.955e+18,1.04e+20,1.5331027562913845e-14
121,9.711414713834933e+20,4.252065947827387e+20,1.194e+21,4.955e+18,1.04e+20,4.2211500827527895e-13
122,1.1136462121961962e+21,2.089179297104465e+20,1.194e+21,4.955e+18,1.04e+20,2.7961242396765932e-15
123,4.99274845887399e+20,9.541137543780327e+19,1.194e+21,4.955e+18,1.04e+20,3.604403575761136e-13
124,3.13877040366504e+20,1.1311297559480187e+20,1.194e+21,4.955e+18,1.04e+20,2.2729699507728454e-15
125,8.520863107380259e+20,1.424757580118278e+20,1.194e+21,4.955e+18,1.04e+20,1.4626054999251802e-15
126,1.6280105022695224e+20,1.133381911552631e+20,1.194e+21,4.955e+18,1.04e+20,1.0428698215396367e-08
127,7.528914353768504e+20,3.899891655983493e+20,1.194e+21,4.955e+18,1.04e+20,4.658029581136342e-09
128,1.398140716962474e+21,7.093166858970006e+20,1.194e+21,4.955e+18,1.04e+20,3.3944865400279036e-12
129,1.0409905580368408e+21,5.7879316995674735e+20,1.194e+21,4.955e+18,1.04e+20,7.751647430473711e-16
130,1.2285970809749085e+21,9.6221924455838e+20,1.194e+21,4.955e+18,1.04e+20,1.8055606459191118e-13
131,6.890871811271823e+20,4.8851802500254224e+20,1.194e+21,4.955e+18,1.04e+20,4.654987025669271e-13
132,7.718938387067005e+20,1.8657593841480073e+20,1.194e+21,4.955e+18,1.04e+20,5.209063276420332e-16
133,6.383908450908141e+20,5.0159108587618894e+20,1.194e+21,4.955e+18,1.04e+20,4.132067936978723e-11
134,3.8145294661390107e+20,5.574683604739912e+19,1.194e+21,4.955e+18,1.04e+20,2.6292070611730757e-09
135,1.219101993001839e+21,2.3571310901085808e+20,1.194e+21,4.955e+18,1.04e+20,4.229899504846329e-12
136,4.8085809858331555e+20,2.5230486185062256e+20,1.194e+21,4.955e+18,1.04e+20,5.618828426075635e-13
137,5.97039973838595e+20,5.094260324769922e+20,1.194e+21,4.955e+18,1.04e+20,5.228796684926163e-13
138,5.2095695054851814e+20,2.0535185672596007e+20,1.194e+21,4.955e+18,1.04e+20,2.7917924805610516e-13
139,3.8727678399650175e+20,3.2091204619941786e+20,1.194e+21,4.955e+18,1.04e+20,6.506476332558004e-15
140,4.903207740651476e+20,3.505513445802508e+20,1.194e+21,4.955e+18,1.04e+20,3.952371795700402e-13
141,4.7664210706056865e+20,2.6141685865646637e+20,1.194e+21,4.955e+18,1.04e+20,4.392287331542636e-11
